Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52;Column53;Column54;Column55;Column56;Column57;Column58;Column59;Column60;Column61;Column62;Column63;Column64;Column65;Column66;Column67;Column68;Column69;Column70;Column71;Column72;Column73;Column74;Column75;Column76;Column77;Column78;Column79;Column80;Column81;Column82;Column83;Column84;Column85;Column86;Column87;Column88;Column89;Column90;Column91;Column92;Column93;Column94;Column95;Column96;Column97;Column98;Column99;Column100;Column101
1777230725-37;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/1061683;"30. Jornada                                                                             | dom, 07/11/10                            
                          |  20:00H";Torneo Apertura (-2016);Nacional Julio Martínez Prádanos;29.800 Espectadores;Pablo Pozo;Universidad de Chile;CSD Colo-Colo;2:2(1:1);Rodrigo Millar;Edson Puch;Sebastián Toro;Andrés Scotti;Diego Rivarola;Francisco Prieto;Carlos Bueno;José Rojas;Andrés Scotti;Mauricio Victorino;Juan González;Ezequiel Miralles;;;;;;;;;;;;;;;;;;;"Rodrigo Millar

                                    4. Tarjeta amarilla  , Falta";"Edson Puch

                                    5. Tarjeta amarilla  , Protestar";Edson Puch;"Sebastián Toro

                                    8. Tarjeta amarilla  , Protestar";"Andrés Scotti

                                    6. Tarjeta amarilla  , Falta";"Diego Rivarola

                                    6. Tarjeta amarilla  , Falta";Diego Rivarola;"Francisco Prieto

                                    3. Tarjeta amarilla  , Comportamiento antideportivo";"Carlos Bueno

                                    2. Tarjeta amarilla  , Falta";Carlos Bueno;"José Rojas

                                    4. Tarjeta amarilla  , Falta";José Rojas;"Andrés Scotti

                                    Tarjeta roja  , Derribar a un adversario en una ocasión manifiesta";"Mauricio Victorino

                                    5. Tarjeta amarilla  , Falta";Mauricio Victorino;"Juan González

                                    Tarjeta roja  , Conducta violenta";Juan González;"Ezequiel Miralles

                                    Tarjeta roja  , Conducta violenta";;;;;;;;;;;;;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;;;;;;;;;;;;;;;;;;
1777230727-38;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/1075391;"14. Jornada                                                                             | sáb, 30/04/11                            
                          |  21:00H";Torneo Apertura (-2016);Nacional Julio Martínez Prádanos;32.323 Espectadores;Enrique Osses;Universidad de Chile;CSD Colo-Colo;2:1(0:0);Domingo Salcedo;Rodrigo Millar;Edson Puch;Charles Aránguiz;Felipe Seymour;Diego Rivarola;Gustavo Canales;;;;;;;;;;;;;;;;;;;;;;;;"Domingo Salcedo

                                    4. Tarjeta amarilla  , Falta";"Rodrigo Millar

                                    3. Tarjeta amarilla  , Falta";"Edson Puch

                                    6. Tarjeta amarilla  , Falta";Edson Puch;"Charles Aránguiz

                                    3. Tarjeta amarilla  , Falta";Charles Aránguiz;"Felipe Seymour

                                    6. Tarjeta amarilla  , Falta";Felipe Seymour;"Diego Rivarola

                                    2. Tarjeta amarilla  , Quitarse la camiseta";Diego Rivarola;"Gustavo Canales

                                    1. Tarjeta amarilla  , Protestar";Gustavo Canales;;;;;;;;;;;;;;;;;;;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;Universidad de Chile;Universidad de Chile;Universidad de Chile;;;;;;;;;;;;;;;;;;;;;;;
1777230730-39;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/1161094;"14. Jornada                                                                             | dom, 30/10/11                            
                          |  21:00H";Torneo Clausura (-2017);Monumental David Arellano;40.365 Espectadores;Claudio Puga;CSD Colo-Colo;Universidad de Chile;2:2(1:1);Juan Castillo;Osvaldo González;Lucas Wilchez;Osmar Molinas;Patricio Jerez Díaz;Charles Aránguiz;José Rojas;Osvaldo González;Esteban Paredes;Mauro Olivi;Juan Castillo;Marcelo Díaz;Esteban Paredes;;;;;;;;;;;;;;;;;;"Juan Castillo

                                    Tarjeta amarilla  , Protestar";Juan Castillo;"Osvaldo González

                                    Tarjeta amarilla  , Comportamiento antideportivo";"Lucas Wilchez

                                    5. Tarjeta amarilla  , Falta";Lucas Wilchez;"Osmar Molinas

                                    2. Tarjeta amarilla  , Falta";Osmar Molinas;"Patricio Jerez Díaz

                                    2. Tarjeta amarilla  , Falta";Patricio Jerez Díaz;"Charles Aránguiz

                                    Tarjeta roja  , Conducta violenta";"José Rojas

                                    3. Tarjeta amarilla  , Falta";"Osvaldo González

                                    Segunda tarjeta amarilla  , Falta";"Esteban Paredes

                                    3. Tarjeta amarilla  , Precipitarse hacia las vallas";Esteban Paredes;"Mauro Olivi

                                    3. Tarjeta amarilla  , Falta";Mauro Olivi;"Juan Castillo

                                    Segunda tarjeta amarilla  , Protestar";Juan Castillo;"Marcelo Díaz

                                    1. Tarjeta amarilla  , Comportamiento antideportivo";"Esteban Paredes

                                    Tarjeta roja  , Insulto";Esteban Paredes;;;;;;;;;;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;;;;;;;;;;;;;;;;;
1777230734-40;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/2207966;"14. Jornada                                                                             | dom, 29/04/12                            
                          |  22:00H";Torneo Apertura (-2016);Nacional Julio Martínez Prádanos;37.513 Espectadores;Patricio Polic;Universidad de Chile;CSD Colo-Colo;5:0(1:0);Marcelo Díaz;Mauro Olivi;Lucas Wilchez;Christian Vilches;Gustavo Lorenzetti;Mauro Olivi;Francisco Prieto;José Rojas;Pablo Contreras;Mathías Vidangossy;Ángelo Henríquez;;;;;;;;;;;;;;;;;;;;"Marcelo Díaz

                                    3. Tarjeta amarilla  , Falta";Marcelo Díaz;"Mauro Olivi

                                    Tarjeta amarilla  , Falta";"Lucas Wilchez

                                    2. Tarjeta amarilla  , Falta";"Christian Vilches

                                    2. Tarjeta amarilla  , Falta";"Gustavo Lorenzetti

                                    1. Tarjeta amarilla  , Falta";Gustavo Lorenzetti;"Mauro Olivi

                                    Segunda tarjeta amarilla  , Falta";"Francisco Prieto

                                    1. Tarjeta amarilla  , Protestar";"José Rojas

                                    2. Tarjeta amarilla  , Falta";José Rojas;"Pablo Contreras

                                    6. Tarjeta amarilla  , Falta";"Mathías Vidangossy

                                    2. Tarjeta amarilla  , Falta";"Ángelo Henríquez

                                    1. Tarjeta amarilla  , Quitarse la camiseta";Ángelo Henríquez;;;;;;;;;;;;;;;;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;;;;;;;;;;;;;;;;;;;
1777230737-41;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/2281087;"Semifinal - Ida                                                                             | dom, 17/06/12                            
                          |  21:30H  |  Vuelta: 0:4";Play-offs Torneo Apertura;Monumental David Arellano;;Eduardo Gamboa;CSD Colo-Colo;Universidad de Chile;2:0(1:0);Pablo Contreras;Álvaro Ormeño;Álvaro Ormeño;Paulo Magalhães;Carlos Muñoz;Rafael Caroca;Esteban Paredes;Ángelo Henríquez;Emilio Hernández;;;;;;;;;;;;;;;;;;;;;;"Pablo Contreras

                                    1. Tarjeta amarilla";Pablo Contreras;"Álvaro Ormeño

                                    Tarjeta amarilla";Álvaro Ormeño;"Álvaro Ormeño

                                    Segunda tarjeta amarilla";Álvaro Ormeño;"Paulo Magalhães

                                    1. Tarjeta amarilla";"Carlos Muñoz

                                    2. Tarjeta amarilla";Carlos Muñoz;"Rafael Caroca

                                    1. Tarjeta amarilla";Rafael Caroca;"Esteban Paredes

                                    Tarjeta roja";Esteban Paredes;"Ángelo Henríquez

                                    1. Tarjeta amarilla";"Emilio Hernández

                                    1. Tarjeta amarilla";;;;;;;;;;;;;;;;CSD Colo-Colo;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;;;;;;;;;;;;;;;;;;;;;
1777230739-42;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/2281089;"Semifinal - Vuelta                                                                             | dom, 24/06/12                            
                          |  21:30H  |  Ida: 0:2";Play-offs Torneo Apertura;Nacional Julio Martínez Prádanos;29.862 Espectadores;Enrique Osses;Universidad de Chile;CSD Colo-Colo;4:0(2:0);Horacio Cardozo;Matías Rodríguez;Pablo Contreras;Eugenio Mena;Roberto Gutiérrez;Gonzalo Fierro;Rodrigo Millar;Marcelo Díaz;Junior Fernandes;Mauro Olivi;Gonzalo Fierro;;;;;;;;;;;;;;;;;;;;"Horacio Cardozo

                                    1. Tarjeta amarilla  , Falta";"Matías Rodríguez

                                    1. Tarjeta amarilla  , Falta";Matías Rodríguez;"Pablo Contreras

                                    2. Tarjeta amarilla  , Falta";"Eugenio Mena

                                    1. Tarjeta amarilla  , Falta";Eugenio Mena;"Roberto Gutiérrez

                                    1. Tarjeta amarilla  , Falta";"Gonzalo Fierro

                                    Tarjeta amarilla  , Protestar";"Rodrigo Millar

                                    2. Tarjeta amarilla  , Falta";"Marcelo Díaz

                                    1. Tarjeta amarilla  , Falta";Marcelo Díaz;"Junior Fernandes

                                    1. Tarjeta amarilla  , Quitarse la camiseta";Junior Fernandes;"Mauro Olivi

                                    Tarjeta roja  , Falta tremenda";"Gonzalo Fierro

                                    Segunda tarjeta amarilla  , Falta";;;;;;;;;;;;;;;;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;;;;;;;;;;;;;;;;;;;
1777230742-43;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/2257163;"14. Jornada                                                                             | dom, 21/10/12                            
                          |  21:00H";Torneo Clausura (-2017);Monumental David Arellano;38.764 Espectadores;Patricio Polic;CSD Colo-Colo;Universidad de Chile;1:0(0:0);Eugenio Mena;Álvaro Ormeño;Eugenio Mena;José Rojas;Johnny Herrera;Felipe Flores;Carlos Muñoz;Francisco Prieto;Rafael Caroca;Carlos Muñoz;Francisco Prieto;Johnny Herrera;;;;;;;;;;;;;;;;;;;"Eugenio Mena

                                    Tarjeta amarilla";"Álvaro Ormeño

                                    2. Tarjeta amarilla";Álvaro Ormeño;"Eugenio Mena

                                    Segunda tarjeta amarilla  , Falta";"José Rojas

                                    2. Tarjeta amarilla";"Johnny Herrera

                                    1. Tarjeta amarilla";"Felipe Flores

                                    5. Tarjeta amarilla";Felipe Flores;"Carlos Muñoz

                                    Tarjeta amarilla  , Falta";Carlos Muñoz;"Francisco Prieto

                                    3. Tarjeta amarilla";Francisco Prieto;"Rafael Caroca

                                    1. Tarjeta amarilla";Rafael Caroca;"Carlos Muñoz

                                    Segunda tarjeta amarilla";Carlos Muñoz;"Francisco Prieto

                                    Tarjeta roja  , Comportamiento antideportivo";Francisco Prieto;"Johnny Herrera

                                    Tarjeta roja  , Conducta violenta";;;;;;;;;;;;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;CSD Colo-Colo;CSD Colo-Colo;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;;;;;;;;;;;;;;;;;;
1777230745-44;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/2315327;"14. Jornada                                                                             | dom, 05/05/13                            
                          |  18:00H";Torneo Transición (-2017);Nacional Julio Martínez Prádanos;41.525 Espectadores;Julio Bascuñán;Universidad de Chile;CSD Colo-Colo;3:2(1:2);Christian Vilches;Gonzalo Fierro;Igor Lichnovsky;Juan Domínguez;Charles Aránguiz;Emiliano Vecchio;Claudio Baeza;Luis Mena;Emilio Hernández;Juan Ignacio Duma;Fernando de la Fuente;Carlos Muñoz;;;;;;;;;;;;;;;;;;;"Christian Vilches

                                    4. Tarjeta amarilla  , Falta";"Gonzalo Fierro

                                    3. Tarjeta amarilla  , Falta";"Igor Lichnovsky

                                    2. Tarjeta amarilla  , Derribar a un adversario en una ocasión manifiesta";Igor Lichnovsky;"Juan Domínguez

                                    5. Tarjeta amarilla  , Falta";"Charles Aránguiz

                                    6. Tarjeta amarilla  , Encararse con adversarios";Charles Aránguiz;"Emiliano Vecchio

                                    5. Tarjeta amarilla  , Encararse con adversarios";"Claudio Baeza

                                    3. Tarjeta amarilla  , Falta";"Luis Mena

                                    Tarjeta roja  , Falta tremenda";"Emilio Hernández

                                    2. Tarjeta amarilla  , Falta";"Juan Ignacio Duma

                                    1. Tarjeta amarilla  , Falta";Juan Ignacio Duma;"Fernando de la Fuente

                                    4. Tarjeta amarilla  , Falta";"Carlos Muñoz

                                    Tarjeta roja  , Conducta violenta";;;;;;;;;;;;;;;;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;;;;;;;;;;;;;;;;;;
1777230748-45;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/2448741;"14. Jornada                                                                             | dom, 10/11/13                            
                          |  16:00H";Torneo Apertura (-2016);Monumental David Arellano;30.534 Espectadores;Jorge Osorio;CSD Colo-Colo;Universidad de Chile;3:2(1:1);Juan Delgado;Sebastián Martínez;Gustavo Lorenzetti;Felipe Flores;;;;;;;;;;;;;;;;;;;;;;;;;;;"Juan Delgado

                                    1. Tarjeta amarilla  , Quitarse la camiseta";Juan Delgado;"Sebastián Martínez

                                    2. Tarjeta amarilla  , Falta";"Gustavo Lorenzetti

                                    1. Tarjeta amarilla  , Falta";"Felipe Flores

                                    3. Tarjeta amarilla  , Quitarse la camiseta";Felipe Flores;;;;;;;;;;;;;;;;;;;;;;;;;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;;;;;;;;;;;;;;;;;;;;;;;;;;
1777230751-46;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/2448270;"14. Jornada                                                                             | dom, 06/04/14                            
                          |  20:30H";Torneo Clausura (-2017);Nacional Julio Martínez Prádanos;25.689 Espectadores;Eduardo Gamboa;Universidad de Chile;CSD Colo-Colo;0:1(0:1);Isaac Díaz;Claudio Baeza;Jaime Valdés;Gonzalo Fierro;Patricio Rubio;Ramón Fernández;Claudio Baeza;Ramón Fernández;;;;;;;;;;;;;;;;;;;;;;;"Isaac Díaz

                                    4. Tarjeta amarilla  , Falta";Isaac Díaz;"Claudio Baeza

                                    Tarjeta amarilla  , Falta";"Jaime Valdés

                                    4. Tarjeta amarilla  , Falta";"Gonzalo Fierro

                                    4. Tarjeta amarilla  , Falta";"Patricio Rubio

                                    3. Tarjeta amarilla  , Simular ser objeto de falta";Patricio Rubio;"Ramón Fernández

                                    1. Tarjeta amarilla  , Protestar";Ramón Fernández;"Claudio Baeza

                                    Segunda tarjeta amarilla  , Falta";"Ramón Fernández

                                    Tarjeta roja  , Falta tremenda";Ramón Fernández;;;;;;;;;;;;;;;;;;;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;;;;;;;;;;;;;;;;;;;;;;
1777230754-47;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/2505721;"11. Jornada                                                                             | dom, 19/10/14                            
                          |  17:00H";Torneo Apertura (-2016);Monumental David Arellano;38.558 Espectadores;Jorge Osorio;CSD Colo-Colo;Universidad de Chile;2:0(0:0);Jaime Valdés;Patricio Rubio;Gonzalo Fierro;Christian Vilches;Sebastián Martínez;José Rojas;José Rojas;Osvaldo González;Johnny Herrera;Felipe Flores;Juan Delgado;;;;;;;;;;;;;;;;;;;;"Jaime Valdés

                                    1. Tarjeta amarilla";Jaime Valdés;"Patricio Rubio

                                    2. Tarjeta amarilla";"Gonzalo Fierro

                                    3. Tarjeta amarilla";Gonzalo Fierro;"Christian Vilches

                                    2. Tarjeta amarilla";Christian Vilches;"Sebastián Martínez

                                    3. Tarjeta amarilla";"José Rojas

                                    Tarjeta amarilla";"José Rojas

                                    Segunda tarjeta amarilla";"Osvaldo González

                                    Tarjeta roja";"Johnny Herrera

                                    1. Tarjeta amarilla";"Felipe Flores

                                    3. Tarjeta amarilla";Felipe Flores;"Juan Delgado

                                    2. Tarjeta amarilla";Juan Delgado;;;;;;;;;;;;;;;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;Universidad de Chile;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;;;;;;;;;;;;;;;;;;;
1777230757-48;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/2546821;"11. Jornada                                                                             | sáb, 14/03/15                            
                          |  20:00H";Torneo Clausura (-2017);Nacional Julio Martínez Prádanos;25.832 Espectadores;Eduardo Gamboa;Universidad de Chile;CSD Colo-Colo;1:2(1:0);Benjamín Vidal;Esteban Pavez;Mathías Corujo;Juan Delgado;Esteban Paredes;;;;;;;;;;;;;;;;;;;;;;;;;;"Benjamín Vidal

                                    4. Tarjeta amarilla";Benjamín Vidal;"Esteban Pavez

                                    3. Tarjeta amarilla";"Mathías Corujo

                                    5. Tarjeta amarilla";Mathías Corujo;"Juan Delgado

                                    2. Tarjeta amarilla";"Esteban Paredes

                                    3. Tarjeta amarilla";;;;;;;;;;;;;;;;;;;;;;;;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;;;;;;;;;;;;;;;;;;;;;;;;;
1777230760-49;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/2639881;"11. Jornada                                                                             | sáb, 31/10/15                            
                          |  16:00H";Torneo Apertura (-2016);Monumental David Arellano;34.300 Espectadores;Eduardo Gamboa;CSD Colo-Colo;Universidad de Chile;2:0(1:0);Claudio Baeza;Osvaldo González;Leonardo Cáceres;Jaime Valdés;;;;;;;;;;;;;;;;;;;;;;;;;;;"Claudio Baeza

                                    1. Tarjeta amarilla  , Falta";Claudio Baeza;"Osvaldo González

                                    2. Tarjeta amarilla  , Falta";"Leonardo Cáceres

                                    1. Tarjeta amarilla  , Falta";Leonardo Cáceres;"Jaime Valdés

                                    Tarjeta roja  , Comportamiento antideportivo";Jaime Valdés;;;;;;;;;;;;;;;;;;;;;;;;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;;;;;;;;;;;;;;;;;;;;;;;;;;
1777230764-50;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/4043400;"Final                                                                            | mié, 02/12/15                            
                          |  23:00H";Copa Chile;La Portada;11.222 Espectadores;Julio Bascuñán;Universidad de Chile;CSD Colo-Colo;5:3pen.;Paulo Magalhães;Julio Barroso;Esteban Paredes;Leonardo Cáceres;Gonzalo Espinoza;;;;;;;;;;;;;;;;;;;;;;;;;;"Paulo Magalhães

                                    1. Tarjeta amarilla";Paulo Magalhães;"Julio Barroso

                                    1. Tarjeta amarilla";"Esteban Paredes

                                    1. Tarjeta amarilla";"Leonardo Cáceres

                                    1. Tarjeta amarilla";"Gonzalo Espinoza

                                    4. Tarjeta amarilla";Gonzalo Espinoza;;;;;;;;;;;;;;;;;;;;;;;;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;;;;;;;;;;;;;;;;;;;;;;;;;
1777230768-51;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/2669297;"11. Jornada                                                                             | dom, 20/03/16                            
                          |  16:30H";Torneo Clausura (-2017);Nacional Julio Martínez Prádanos;31.023 Espectadores;Julio Bascuñán;Universidad de Chile;CSD Colo-Colo;0:0(0:0);Jean Beausejour;Matías Rodríguez;Osvaldo González;Javier Reina;Juan Delgado;Gonzalo Jara;Jean Beausejour;Gonzalo Espinoza;Gabriel Suazo;;;;;;;;;;;;;;;;;;;;;;"Jean Beausejour

                                    Tarjeta amarilla";"Matías Rodríguez

                                    3. Tarjeta amarilla";Matías Rodríguez;"Osvaldo González

                                    2. Tarjeta amarilla";Osvaldo González;"Javier Reina

                                    2. Tarjeta amarilla";"Juan Delgado

                                    3. Tarjeta amarilla";"Gonzalo Jara

                                    2. Tarjeta amarilla";Gonzalo Jara;"Jean Beausejour

                                    Segunda tarjeta amarilla  , Conducta violenta";"Gonzalo Espinoza

                                    4. Tarjeta amarilla";Gonzalo Espinoza;"Gabriel Suazo

                                    1. Tarjeta amarilla";;;;;;;;;;;;;;;;;;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;;;;;;;;;;;;;;;;;;;;;
1777230770-52;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/2732435;"8. Jornada                                                                             | dom, 02/10/16                            
                          |  17:00H";Torneo Apertura (-2016);Monumental David Arellano;39.612 Espectadores;Julio Bascuñán;CSD Colo-Colo;Universidad de Chile;2:0(1:0);Sebastián Martínez;Fabián Monzón;Mario Briceño;Gustavo Lorenzetti;Ramón Fernández;Claudio Baeza;Esteban Pavez;;;;;;;;;;;;;;;;;;;;;;;;"Sebastián Martínez

                                    3. Tarjeta amarilla  , Falta";"Fabián Monzón

                                    1. Tarjeta amarilla  , Falta";"Mario Briceño

                                    2. Tarjeta amarilla  , Falta";"Gustavo Lorenzetti

                                    2. Tarjeta amarilla  , Falta";"Ramón Fernández

                                    5. Tarjeta amarilla  , Falta";Ramón Fernández;"Claudio Baeza

                                    1. Tarjeta amarilla  , Falta";Claudio Baeza;"Esteban Pavez

                                    3. Tarjeta amarilla  , Falta";Esteban Pavez;;;;;;;;;;;;;;;;;;;;;Universidad de Chile;Universidad de Chile;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;CSD Colo-Colo;;;;;;;;;;;;;;;;;;;;;;;
1777230773-53;https://www.transfermarkt.es/universidad-de-chile/bilanzdetail/verein/1037/plus/0?gegner_id=2433&saison_id=&wettbewerb_id=&day=&heim_gast=&punkte=&datum_von=&datum_bis=;https://www.transfermarkt.es/spielbericht/index/spielbericht/2829635;"9. Jornada                                                                             | sáb, 08/04/17                            
                          |  17:00H";Torneo Clausura (-2017);Nacional Julio Martínez Prádanos;43.278 Espectadores;Roberto Tobar;Universidad de Chile;CSD Colo-Colo;2:2(1:1);Esteban Paredes;Lucas Ontivero;Jaime Valdés;Claudio Baeza;Leandro Benegas;Iván Rozas;Matías Rodríguez;Gabriel Suazo;Esteban Pavez;;;;;;;;;;;;;;;;;;;;;;"Esteban Paredes

                                    2. Tarjeta amarilla  , Falta";"Lucas Ontivero

                                    2. Tarjeta amarilla  , Falta";Lucas Ontivero;"Jaime Valdés

                                    2. Tarjeta amarilla  , Falta";"Claudio Baeza

                                    4. Tarjeta amarilla  , Falta";"Leandro Benegas

                                    3. Tarjeta amarilla  , Falta";Leandro Benegas;"Iván Rozas

                                    1. Tarjeta amarilla  , Falta";Iván Rozas;"Matías Rodríguez

                                    4. Tarjeta amarilla  , Falta";Matías Rodríguez;"Gabriel Suazo

                                    2. Tarjeta amarilla  , Falta";"Esteban Pavez

                                    1. Tarjeta amarilla  , Falta";;;;;;;;;;;;;;;;;;CSD Colo-Colo;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;Universidad de Chile;Universidad de Chile;Universidad de Chile;CSD Colo-Colo;CSD Colo-Colo;;;;;;;;;;;;;;;;;;;;;
